date,time,symbol,open,high,low,close,volume
"=""16-02-24""",11:11:00,FINNIFTY,20441.95,20444.0,20435.2,20435.9,0.0
"=""16-02-24""",11:12:00,FINNIFTY,20435.05,20440.8,20434.85,20435.8,0.0
"=""16-02-24""",11:13:00,FINNIFTY,20435.75,20437.15,20433.7,20433.7,0.0
"=""16-02-24""",11:14:00,FINNIFTY,20436.6,20445.2,20435.35,20443.95,0.0
"=""16-02-24""",11:15:00,FINNIFTY,20443.75,20445.1,20431.75,20431.75,0.0
"=""16-02-24""",11:16:00,FINNIFTY,20432.7,20440.9,20431.05,20440.85,0.0
"=""16-02-24""",11:17:00,FINNIFTY,20439.5,20444.95,20439.2,20443.45,0.0
"=""16-02-24""",11:18:00,FINNIFTY,20444.05,20447.2,20441.8,20441.8,0.0
"=""16-02-24""",11:19:00,FINNIFTY,20442.2,20443.6,20439.9,20441.8,0.0
"=""16-02-24""",11:20:00,FINNIFTY,20441.5,20447.65,20441.3,20446.55,0.0
"=""16-02-24""",11:21:00,FINNIFTY,20447.95,20447.95,20438.65,20439.85,0.0
"=""16-02-24""",11:22:00,FINNIFTY,20440.15,20444.5,20438.7,20438.75,0.0
"=""16-02-24""",11:23:00,FINNIFTY,20439.35,20441.0,20431.45,20432.9,0.0
"=""16-02-24""",11:24:00,FINNIFTY,20433.35,20437.7,20424.85,20434.85,0.0
"=""16-02-24""",11:25:00,FINNIFTY,20435.95,20440.2,20429.5,20430.0,0.0
"=""16-02-24""",11:26:00,FINNIFTY,20429.35,20435.35,20429.3,20433.45,0.0
"=""16-02-24""",11:27:00,FINNIFTY,20433.0,20435.65,20432.6,20433.5,0.0
"=""16-02-24""",11:28:00,FINNIFTY,20433.55,20437.3,20430.45,20430.9,0.0
"=""16-02-24""",11:29:00,FINNIFTY,20430.8,20434.9,20430.8,20431.5,0.0
"=""16-02-24""",11:30:00,FINNIFTY,20431.75,20433.2,20428.75,20430.6,0.0
"=""16-02-24""",11:31:00,FINNIFTY,20430.6,20432.95,20424.05,20424.05,0.0
"=""16-02-24""",11:32:00,FINNIFTY,20425.95,20425.95,20419.45,20421.8,0.0
"=""16-02-24""",11:33:00,FINNIFTY,20421.7,20427.25,20420.25,20423.7,0.0
"=""16-02-24""",11:34:00,FINNIFTY,20423.4,20431.25,20420.7,20424.05,0.0
"=""16-02-24""",11:35:00,FINNIFTY,20424.1,20428.55,20423.7,20425.4,0.0
"=""16-02-24""",11:36:00,FINNIFTY,20425.05,20428.2,20420.1,20420.9,0.0
"=""16-02-24""",11:37:00,FINNIFTY,20422.25,20423.45,20415.85,20417.0,0.0
"=""16-02-24""",11:38:00,FINNIFTY,20417.65,20423.1,20416.6,20420.9,0.0
"=""16-02-24""",11:39:00,FINNIFTY,20420.3,20421.7,20417.25,20418.5,0.0
"=""16-02-24""",11:40:00,FINNIFTY,20417.5,20420.2,20415.05,20419.75,0.0
"=""16-02-24""",11:41:00,FINNIFTY,20419.15,20424.7,20417.65,20422.05,0.0
"=""16-02-24""",11:42:00,FINNIFTY,20422.25,20425.75,20420.8,20424.05,0.0
"=""16-02-24""",11:43:00,FINNIFTY,20420.15,20424.2,20413.85,20423.4,0.0
"=""16-02-24""",11:44:00,FINNIFTY,20426.5,20435.55,20424.55,20431.15,0.0
"=""16-02-24""",11:45:00,FINNIFTY,20432.25,20432.25,20421.3,20424.25,0.0
"=""16-02-24""",11:46:00,FINNIFTY,20425.3,20425.3,20407.8,20412.8,0.0
"=""16-02-24""",11:47:00,FINNIFTY,20411.2,20412.1,20407.4,20409.7,0.0
"=""16-02-24""",11:48:00,FINNIFTY,20409.2,20417.5,20409.2,20414.95,0.0
"=""16-02-24""",11:49:00,FINNIFTY,20415.05,20427.2,20413.65,20427.2,0.0
"=""16-02-24""",11:50:00,FINNIFTY,20427.05,20444.4,20423.8,20444.4,0.0
"=""16-02-24""",11:51:00,FINNIFTY,20443.75,20448.75,20442.25,20445.85,0.0
"=""16-02-24""",11:52:00,FINNIFTY,20446.35,20451.8,20443.2,20443.4,0.0
"=""16-02-24""",11:53:00,FINNIFTY,20443.8,20446.25,20441.6,20441.6,0.0
"=""16-02-24""",11:54:00,FINNIFTY,20440.85,20444.3,20432.05,20432.05,0.0
"=""16-02-24""",11:55:00,FINNIFTY,20432.85,20440.9,20432.05,20436.7,0.0
"=""16-02-24""",11:56:00,FINNIFTY,20436.8,20436.9,20432.75,20434.3,0.0
"=""16-02-24""",11:57:00,FINNIFTY,20435.0,20441.45,20433.45,20439.7,0.0
"=""16-02-24""",11:58:00,FINNIFTY,20440.45,20447.65,20439.15,20446.35,0.0
"=""16-02-24""",11:59:00,FINNIFTY,20447.05,20448.9,20443.9,20446.9,0.0
"=""16-02-24""",12:00:00,FINNIFTY,20446.8,20451.9,20443.7,20443.75,0.0
"=""16-02-24""",12:01:00,FINNIFTY,20444.0,20447.6,20442.4,20447.6,0.0
"=""16-02-24""",12:02:00,FINNIFTY,20446.15,20447.5,20445.2,20445.55,0.0
"=""16-02-24""",12:03:00,FINNIFTY,20445.35,20447.25,20442.3,20444.25,0.0
"=""16-02-24""",12:04:00,FINNIFTY,20445.15,20448.9,20443.55,20444.65,0.0
"=""16-02-24""",12:05:00,FINNIFTY,20444.2,20448.55,20439.25,20439.4,0.0
"=""16-02-24""",12:06:00,FINNIFTY,20440.85,20446.65,20439.5,20440.15,0.0
"=""16-02-24""",12:07:00,FINNIFTY,20440.85,20450.65,20439.85,20450.0,0.0
"=""16-02-24""",12:08:00,FINNIFTY,20450.45,20452.45,20447.5,20449.6,0.0
"=""16-02-24""",12:09:00,FINNIFTY,20451.9,20452.85,20444.95,20444.95,0.0
"=""16-02-24""",12:10:00,FINNIFTY,20445.55,20451.55,20443.0,20449.2,0.0
"=""16-02-24""",12:11:00,FINNIFTY,20450.0,20453.1,20448.8,20451.45,0.0
"=""16-02-24""",12:12:00,FINNIFTY,20451.1,20454.55,20447.0,20449.3,0.0
"=""16-02-24""",12:13:00,FINNIFTY,20451.55,20458.15,20450.1,20450.1,0.0
"=""16-02-24""",12:14:00,FINNIFTY,20451.0,20453.3,20448.55,20450.5,0.0
"=""16-02-24""",12:15:00,FINNIFTY,20449.2,20450.45,20442.65,20444.5,0.0
"=""16-02-24""",12:16:00,FINNIFTY,20444.25,20448.1,20438.85,20439.05,0.0
"=""16-02-24""",12:17:00,FINNIFTY,20438.9,20443.1,20438.55,20439.75,0.0
"=""16-02-24""",12:18:00,FINNIFTY,20439.1,20440.15,20429.35,20430.0,0.0
"=""16-02-24""",12:19:00,FINNIFTY,20430.45,20434.1,20429.2,20432.95,0.0
"=""16-02-24""",12:20:00,FINNIFTY,20432.05,20435.75,20430.7,20431.9,0.0
"=""16-02-24""",12:21:00,FINNIFTY,20432.4,20432.75,20424.8,20425.0,0.0
"=""16-02-24""",12:22:00,FINNIFTY,20425.0,20427.5,20420.7,20422.35,0.0
"=""16-02-24""",12:23:00,FINNIFTY,20423.25,20427.65,20420.95,20427.0,0.0
"=""16-02-24""",12:24:00,FINNIFTY,20425.4,20428.45,20421.4,20422.4,0.0
"=""16-02-24""",12:25:00,FINNIFTY,20420.35,20422.85,20417.5,20420.55,0.0
"=""16-02-24""",12:26:00,FINNIFTY,20420.75,20424.35,20415.75,20415.75,0.0
"=""16-02-24""",12:27:00,FINNIFTY,20416.3,20418.4,20411.65,20416.15,0.0
"=""16-02-24""",12:28:00,FINNIFTY,20415.25,20422.75,20414.15,20419.15,0.0
"=""16-02-24""",12:29:00,FINNIFTY,20418.6,20419.65,20416.65,20417.3,0.0
"=""16-02-24""",12:30:00,FINNIFTY,20416.9,20419.6,20415.0,20418.45,0.0
"=""16-02-24""",12:31:00,FINNIFTY,20418.4,20422.95,20418.05,20419.25,0.0
"=""16-02-24""",12:32:00,FINNIFTY,20419.7,20424.8,20418.55,20422.95,0.0
"=""16-02-24""",12:33:00,FINNIFTY,20422.9,20423.5,20416.8,20421.6,0.0
"=""16-02-24""",12:34:00,FINNIFTY,20421.1,20430.2,20420.15,20427.25,0.0
"=""16-02-24""",12:35:00,FINNIFTY,20427.35,20428.7,20423.3,20423.3,0.0
"=""16-02-24""",12:36:00,FINNIFTY,20424.2,20428.3,20423.15,20426.0,0.0
"=""16-02-24""",12:37:00,FINNIFTY,20426.35,20434.05,20425.75,20432.75,0.0
"=""16-02-24""",12:38:00,FINNIFTY,20432.45,20438.9,20430.8,20436.5,0.0
"=""16-02-24""",12:39:00,FINNIFTY,20437.5,20441.25,20435.8,20438.6,0.0
"=""16-02-24""",12:40:00,FINNIFTY,20438.6,20442.0,20435.3,20439.6,0.0
"=""16-02-24""",12:41:00,FINNIFTY,20437.1,20439.1,20428.1,20429.05,0.0
"=""16-02-24""",12:42:00,FINNIFTY,20429.85,20439.95,20429.1,20436.2,0.0
"=""16-02-24""",12:43:00,FINNIFTY,20436.45,20440.65,20433.55,20436.25,0.0
"=""16-02-24""",12:44:00,FINNIFTY,20436.25,20437.35,20433.3,20434.6,0.0
"=""16-02-24""",12:45:00,FINNIFTY,20435.0,20437.95,20433.75,20435.9,0.0
"=""16-02-24""",12:46:00,FINNIFTY,20436.0,20439.35,20433.9,20435.8,0.0
"=""16-02-24""",12:47:00,FINNIFTY,20435.65,20438.8,20430.95,20431.1,0.0
"=""16-02-24""",12:48:00,FINNIFTY,20431.5,20438.4,20429.3,20434.9,0.0
"=""16-02-24""",12:49:00,FINNIFTY,20434.75,20445.9,20434.5,20443.2,0.0
"=""16-02-24""",12:50:00,FINNIFTY,20441.85,20449.45,20439.85,20444.1,0.0
"=""16-02-24""",12:51:00,FINNIFTY,20444.85,20447.45,20441.7,20443.25,0.0
"=""16-02-24""",12:52:00,FINNIFTY,20444.1,20446.2,20438.95,20441.1,0.0
"=""16-02-24""",12:53:00,FINNIFTY,20441.35,20444.5,20436.45,20436.45,0.0
"=""16-02-24""",12:54:00,FINNIFTY,20437.05,20442.8,20435.25,20437.7,0.0
"=""16-02-24""",12:55:00,FINNIFTY,20438.35,20445.65,20437.35,20440.8,0.0
"=""16-02-24""",12:56:00,FINNIFTY,20439.75,20441.7,20437.15,20439.35,0.0
"=""16-02-24""",12:57:00,FINNIFTY,20438.7,20439.85,20433.85,20434.0,0.0
"=""16-02-24""",12:58:00,FINNIFTY,20434.45,20442.75,20432.65,20442.35,0.0
"=""16-02-24""",12:59:00,FINNIFTY,20441.4,20442.05,20436.1,20437.45,0.0
"=""16-02-24""",13:00:00,FINNIFTY,20439.15,20451.3,20434.85,20448.6,0.0
"=""16-02-24""",13:01:00,FINNIFTY,20447.35,20447.85,20433.8,20435.7,0.0
"=""16-02-24""",13:02:00,FINNIFTY,20436.0,20439.8,20432.65,20433.8,0.0
"=""16-02-24""",13:03:00,FINNIFTY,20433.2,20436.6,20429.75,20430.15,0.0
"=""16-02-24""",13:04:00,FINNIFTY,20431.6,20437.85,20429.6,20437.85,0.0
"=""16-02-24""",13:05:00,FINNIFTY,20437.2,20440.8,20435.45,20436.3,0.0
"=""16-02-24""",13:06:00,FINNIFTY,20436.9,20448.35,20436.9,20438.05,0.0
"=""16-02-24""",13:07:00,FINNIFTY,20440.05,20450.05,20439.35,20449.2,0.0
"=""16-02-24""",13:08:00,FINNIFTY,20446.55,20449.65,20445.3,20445.7,0.0
"=""16-02-24""",13:09:00,FINNIFTY,20446.0,20450.7,20445.8,20448.15,0.0
"=""16-02-24""",13:10:00,FINNIFTY,20449.2,20450.65,20444.65,20448.75,0.0
"=""16-02-24""",13:11:00,FINNIFTY,20448.05,20450.8,20445.95,20448.45,0.0
"=""16-02-24""",13:12:00,FINNIFTY,20448.8,20451.1,20448.15,20449.85,0.0
"=""16-02-24""",13:13:00,FINNIFTY,20448.7,20450.8,20446.3,20448.55,0.0
"=""16-02-24""",13:14:00,FINNIFTY,20447.9,20451.85,20447.2,20447.35,0.0
"=""16-02-24""",13:15:00,FINNIFTY,20447.8,20448.35,20440.4,20440.9,0.0
"=""16-02-24""",13:16:00,FINNIFTY,20440.65,20451.2,20440.65,20449.55,0.0
"=""16-02-24""",13:17:00,FINNIFTY,20449.15,20459.4,20449.15,20450.1,0.0
"=""16-02-24""",13:18:00,FINNIFTY,20449.75,20459.35,20449.6,20456.1,0.0
"=""16-02-24""",13:19:00,FINNIFTY,20457.35,20460.55,20451.25,20451.25,0.0
"=""16-02-24""",13:20:00,FINNIFTY,20451.3,20453.7,20447.0,20447.85,0.0
"=""16-02-24""",13:21:00,FINNIFTY,20447.7,20453.9,20447.3,20450.3,0.0
"=""16-02-24""",13:22:00,FINNIFTY,20451.0,20464.45,20451.0,20457.4,0.0
"=""16-02-24""",13:23:00,FINNIFTY,20458.4,20466.2,20457.9,20464.4,0.0
"=""16-02-24""",13:24:00,FINNIFTY,20465.45,20467.15,20460.4,20460.4,0.0
"=""16-02-24""",13:25:00,FINNIFTY,20460.65,20465.75,20457.05,20458.95,0.0
"=""16-02-24""",13:26:00,FINNIFTY,20457.3,20460.8,20456.15,20456.25,0.0
"=""16-02-24""",13:27:00,FINNIFTY,20455.7,20463.6,20455.3,20460.8,0.0
"=""16-02-24""",13:28:00,FINNIFTY,20460.2,20460.6,20453.5,20453.5,0.0
"=""16-02-24""",13:29:00,FINNIFTY,20455.35,20455.35,20451.3,20453.75,0.0
